# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Baresquare
# Property: Baresquare website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20250908
# End date: 20251207
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/blog/using-claude-ai-to-build-online-game-digital-analytics,14,11,1.2727272727272727,0,37,0,0
/solutions/product-owners,14,11,1.2727272727272727,0,30,0,0
/blog/best-practices-on-digital-marketing-and-analytics-integration,13,10,1.3,0,32,0,0
/blog/merchandising-wiz-bites-2-apparel-and-pop-culture-leaders-stitched-up-2024,24,10,2.4,0,42,0,0
/blog/can-large-language-models-supercharge-time-series-analysis-in-digital-marketing-and-ecommerce,11,9,1.2222222222222223,0,28,0,0
/blog/merchandising-wiz-bites-7-home-furnishing-trends-spring-2025,11,9,1.2222222222222223,0,32,0,0
/blog/alerts-monitoring-a-quick-case-study,9,8,1.125,0,16,0,0
/blog/effective-data-storytelling-unleashing-insights-for-informed-decision-making,9,8,1.125,0,23,0,0
/blog/mastering-web-scraping-with-puppeteer-a-comprehensive-tutorial,9,8,1.125,0,21,0,0
/blog/power-and-pitfalls-of-gen-ai-assistants-in-coding,11,8,1.375,0,22,0,0
/about,7,7,1,0,21,0,0
/apps/customer-acquisition-business,8,7,1.1428571428571428,0,19,0,0
/blog/404-error-hound-hunting-down-fixing-website-errors-with-ai-power,8,7,1.1428571428571428,0,23,0,0
/blog/effective-communication-in-web-analytics-projects,8,7,1.1428571428571428,0,20,0,0
/apps/customer-acquisition-basic,7,6,1.1666666666666667,0,15,0,0
/blog/ai-and-content-optimization-revolutionizing-ad-copy,7,6,1.1666666666666667,0,17,0,0
/blog/merchandising-wiz-bites-4-athleisure-brand-predictions,7,6,1.1666666666666667,0,20,0,0
/blog/real-time-personalization-adobe-target-guide,10,6,1.6666666666666667,0,21,0,0
/blog/spot-broken-digital-campaigns-tracking-with-google-and-adobe-analytics,7,6,1.1666666666666667,0,17,0,0
/blog/tedx-talk-how-to-avoid-the-rise-of-inequality-in-our-ai-future,8,6,1.3333333333333333,0,17,0,0
/blog/digital-analytics-in-the-age-of-ai,6,5,1.2,0,14,0,0
/blog/ga4-ecommerce-best-practices-2024,6,5,1.2,0,14,0,0
/blog/google-analytics-alerts-and-baresquare,6,5,1.2,1.6,15,0,0
/blog/introducing-ecom-product-analyst-custom-gpt,6,5,1.2,0,14,0,0
/blog/merchandising-wiz-bites-retailers-smart-split-clearing-winter-while-promoting-spring,5,5,1,0,15,0,0
/blog/optimize-slack-efficiency-essential-apps,6,5,1.2,0,16,0,0
/blog/revolutionize-analytics-ai-guide-building-digital-assistant-openai-api,11,5,2.2,0,13,0,0
/template/blog-3,5,5,1,0,16,0,0
/blog/ai-prompting,5,4,1.25,0,11,0,0
/blog/baresquare-auth0-secure-easy-user-authentication,5,4,1.25,0,11,0,0
/blog/chat-and-website-data-unlocking-deeper-insights-for-business-success,5,4,1.25,0,12,0,0
/blog/fix-the-html-errors-of-your-website-it-matters,4,4,1,0,13,0,0
/blog/google-analytics-ga4-ua-discrepancies,5,4,1.25,0,11,0,0
/blog/importance-of-human-expertise-in-ai,5,4,1.25,0,11,0,0
/blog/work-life-balance-tips-for-data-analysts,6,4,1.5,0,14,0,0
/vacancy/graphic-designer,4,4,1,0,15,0,0
/blog/a-tale-of-2-digital-analysts,4,3,1.3333333333333333,0,8,0,0
/blog/announcing-ga4-migration-gap-hunter-app,4,3,1.3333333333333333,4,9,0,0
/blog/ga4-bigquery-integration-for-unsampled-data-and-deeper-insights,4,3,1.3333333333333333,0,8,0,0
/blog/google-looker-studio-best-practices-for-reports,4,3,1.3333333333333333,0,9,0,0
/blog/organic-traffic-why-it-is-important-how-to-generate-it-and-reasons-behind-a-drop,4,3,1.3333333333333333,0,8,0,0
/blog/the-power-of-ai-in-personalized-marketing,4,3,1.3333333333333333,0,8,0,0
/integrations/marketo,3,3,1,0,9,0,0
/products,3,3,1,0,9,0,0
/&opi=79508299&sa=U&ved=0ahUKEwi1uZ6umuiPAxX5VKQEHfQtBroQ61gIECgN&usg=AOvVaw1XLhmQqqa_UGf0iW1mFfMy,2,2,1,0,6,0,0
/blog/automate-actions-using-zapier,3,2,1.5,0,5,0,0
/blog/bi-tools-and-teams-that-leverage-ai-will-replace-those-that-do-not,1,2,0.5,0,4,0,0
/blog/day-in-the-life-of-a-digital-analyst-at-baresquare,3,2,1.5,0,6,0,0
/blog/how-siemens-gained-30-improvement-in-efficiency,4,2,2,0,8,0,0
/blog/introducing-our-new-feature-share-a-baresquare-ticket-on-slack,3,2,1.5,0,6,0,0
/blog/supercharge-tagging-productivity-chatgpt,4,2,2,0,7,0,0
/blog/the-problem-with-dashboards,3,2,1.5,0,5,0,0
/blog/unleashing-the-power-of-baresquare-campaign-diagnostics-for-optimal-marketing-success,3,2,1.5,0,6,0,0
/career/,2,2,1,0,6,0,0
/integrations/shopify,2,2,1,0,6,0,0
/solutions,3,2,1.5,0,5,0,0
/template/about,2,2,1,0,6,0,0
/template/case-studies,2,2,1,0,8,0,0
/template/contact-us,2,2,1,0,6,0,0
/template/pricing-2,2,2,1,0,6,0,0
/template/reviews,2,2,1,0,6,0,0
/template/sign-up-theme,2,2,1,0,7,0,0
,1,1,1,0,3,0,0
/).,1,1,1,0,3,0,0
/404,1,1,1,0,3,0,0
/about.html,1,1,1,0,2,0,0
/admin,6,1,6,0,6,0,0
/ai-lab,2,1,2,0,3,0,0
/ai-lab/features,2,1,2,0,3,0,0
/blog/YS1iZWdpbm,1,1,1,0,3,0,0
/blog/a2VlcC15b3,1,1,1,0,3,0,0
/blog/artificial-intelligence/differences-between-openai-assistants-and-custom-gpts,1,1,1,0,3,0,0
/blog/boost-google-analytics-baresquare,2,1,2,0,2,0,0
/blog/boost-your-e-commerce-conversion-rates-with-custom-cta-monitoring-for-product-pages,2,1,2,0,2,0,0
/blog/cookie-consent-models-understanding-the-pros-and-cons-for-your-websitehttps://baresquare.com/blog/cookie-consent-models-understanding-the-pros-and-cons-for-your-website,1,1,1,0,3,0,0
/blog/create-jira-issues-for-new-baresquare-tickets,2,1,2,0,2,0,0
/blog/decoding-time-series-an-in-depth-look-at-definitionstypes-and-challenges,1,1,1,0,3,0,0
/blog/difference-between-openai-assistants-and-custom-gpts,1,1,1,0,3,0,0
/blog/dive-deeper-with-a-follow-up-analysis,2,1,2,7,3,0,0
/blog/how-saas-tools-contributed-to-the-evolution-of-data-analytics,2,1,2,0,2,0,0
/blog/how-to-prepare-for-a-job-interview-with-ai,2,1,2,0,2,0,0
/blog/introducing-new-zapier-actions-for-effortless-ticket-management,2,1,2,0,2,0,0
/blog/introducing-visual-description-feature,1,1,1,0,3,0,0
/blog/merchandising-wiz-bites-3-unwinding-the-holiday-strategies-of-timepiece-giants,2,1,2,0,2,0,0
/blog/tech-insights/differences-between-openai-assistants-and-custom-gpts,2,1,2,0,2,0,0
/case-studies,2,1,2,0,3,0,0
/case-studies/baremetrics-increased-annual-billing-by-30,1,1,1,0,4,0,0
/contact/,1,1,1,0,3,0,0
/contact/tel:004402039481046,1,1,1,0,3,0,0
/cookie-policy/,1,1,1,0,4,0,0
/en/blog/ultimate-guide-how-to-spot-bot-traffic,1,1,1,0,3,0,0
/features,1,1,1,0,3,0,0
/integrations/airtable,1,1,1,0,3,0,0
/integrations/facebook-marketing,1,1,1,0,3,0,0
/privacy-policy/,1,1,1,0,3,0,0
/product/advanced,2,1,2,0,6,0,0
/reference/instructions,1,1,1,0,3,0,0
/reference/licensing,1,1,1,0,3,0,0
/santqmz/6382308503/L5NuD7pOvT/6382308503/aW5mb0B1aG90dy5jb20=,2,1,2,0,4,0,0
/search,4,1,4,0,7,0,0
/services,1,1,1,0,3,0,0
/template/demo-template,1,1,1,0,4,0,0
/template/features,1,1,1,0,3,0,0
/template/pricing-1,1,1,1,0,4,0,0
/template/pricing-3,1,1,1,0,3,0,0
/template/pricing-ecommerce,1,1,1,0,4,0,0
/testimonials,1,1,1,0,3,0,0
/vacancy/junior-webflow-developer,1,1,1,0,3,0,0
/vacancy/senior-website-developer,1,1,1,0,3,0,0
/vacancy/ui-ux-design-intern,1,1,1,0,3,0,0
/vacancy/webflow-developer,1,1,1,0,4,0,0
/xfqwaopc/prh/gvqqj/suspect@safeonweb.be,3,1,3,0,5,0,0
/wp-admin,2,0,0,0,4,0,0
