old_url,priority,score,action,redirect_target,title,notes
"/customer-stories/how-sony-overcame-campaign-challenges-with-baresquare","high",75,"map","/work/sony","How Sony overcame campaign challenges with Baresquare | Bare","Map to case study section"
"/blog/using-claude-ai-to-build-online-game-digital-analytics","high",75,"map","/","Discover how AI revolutionizes game creation. | Baresquare","AI content → Homepage (AI-focused)"
"/blog/unlocking-the-black-box-the-power-of-explainable-ai-for-transparent-ai-systems","high",75,"map","/","Unlocking the Black Box: Explainable AI | Baresquare","AI content → Homepage (AI-focused)"
"/blog/alerts-monitoring-a-quick-case-study","high",70,"evaluate","/blog","Alerts Monitoring: A quick case study | Baresquare","High-value blog - consider migration"
"/blog/best-practices-on-digital-marketing-and-analytics-integration","high",70,"map","/services/ai-search-marketing","Analytics integration with digital marketing – Best practice","SEO/Marketing → AI Search service"
"/blog/guide-for-fine-tuning-a-gpt-3-model-for-analytics","high",70,"map","/","A comprehensive guide to fine-tuning a GPT-3 model | Baresqu","AI content → Homepage (AI-focused)"
"/blog/mastering-merchandising-evars-analytics-guide","high",70,"evaluate","/blog","A Guide to Demystifying Merchandising eVars in Analytics | B","High-value blog - consider migration"
"/customer-stories","high",65,"map","/work/sony","Customer Stories | Baresquare","Map to case study section"
"/old-platform","high",65,"map","/","Platform | Baresquare","Platform content absorbed into homepage"
"/platform","high",60,"map","/","Platform | Baresquare","Platform content absorbed into homepage"
"/blog/supercharge-tagging-productivity-chatgpt","high",60,"map","/","Supercharge Your Tagging Productivity with ChatGPT | Baresqu","AI content → Homepage (AI-focused)"
"/blog/ultimate-guide-how-to-spot-bot-traffic","high",60,"evaluate","/blog","Spot Bot traffic with Google and Adobe Analytics | Baresquar","High-value blog - consider migration"
"/blog/unleashing-the-power-of-baresquare-campaign-diagnostics-for-optimal-marketing-success","high",60,"map","/","Campaign Diagnostics for Optimal Marketing Success | Baresqu","AI content → Homepage (AI-focused)"
"/apps/ga4-migration-gap-hunter","high",55,"redirect","/","GA4 Migration Gap Hunter | Baresquare","Low-value page → homepage"
"/blog","high",50,"evaluate","/blog","Blog | Baresquare","High-value blog - consider migration"
"/privacy-policy","high",50,"redirect","/","Privacy Policy | Baresquare","Low-value page → homepage"
"/terms-of-service","high",50,"redirect","/","Terms of Service | Baresquare","Low-value page → homepage"
"/cookie-policy","high",50,"redirect","/","Cookie Policy | Baresquare","Low-value page → homepage"
"/apps/customer-acquisition-basic","high",50,"redirect","/","Customer Acquisition (Basic)  | Baresquare","Low-value page → homepage"
"/apps/customer-acquisition-business","high",50,"redirect","/","Customer Acquisition (Business) | Baresquare","Low-value page → homepage"
"/blog/automate-actions-using-zapier","high",50,"evaluate","/blog","New feature released: Automate actions using Zapier & Baresq","High-value blog - consider migration"
"/blog/a-tale-of-2-digital-analysts","high",50,"evaluate","/blog","A tale of 2 digital analysts | Baresquare","High-value blog - consider migration"
"/blog/baresquare-auth0-secure-easy-user-authentication","high",50,"evaluate","/blog","Baresquare Integrates Auth0 for Secure Authentication | Bare","High-value blog - consider migration"
"/blog/boost-your-e-commerce-conversion-rates-with-custom-cta-monitoring-for-product-pages","high",50,"evaluate","/blog","CTA Monitoring to boost E-commerce Conversions | Baresquare","High-value blog - consider migration"
"/blog/can-large-language-models-supercharge-time-series-analysis-in-digital-marketing-and-ecommerce","high",50,"map","/services/ai-search-marketing","Can LLMs advance time series analysis in Marketing & eCom? |","SEO/Marketing → AI Search service"
"/blog/chat-and-website-data-unlocking-deeper-insights-for-business-success","high",50,"evaluate","/blog","Maximizing Business Potential via Chat and Website data | Ba","High-value blog - consider migration"
"/blog/create-jira-issues-for-new-baresquare-tickets","high",50,"evaluate","/blog","Create Jira issues for new Baresquare tickets | Baresquare","High-value blog - consider migration"
"/blog/cookie-consent-models-understanding-the-pros-and-cons-for-your-website","high",50,"evaluate","/blog","Understanding Cookie Consent Models: Pros and Cons | Baresqu","High-value blog - consider migration"
"/blog/day-in-the-life-of-a-digital-analyst-at-baresquare","high",50,"evaluate","/blog","Day in the Life of a Digital Analyst at Baresquare | Baresqu","High-value blog - consider migration"
"/blog/decoding-time-series-an-in-depth-look-at-definitions-types-and-challenges","high",50,"evaluate","/blog","Time Series Analysis: Definitions, Types & Challenges | Bare","High-value blog - consider migration"
"/blog/dive-deeper-with-a-follow-up-analysis","high",50,"evaluate","/blog","Dive deeper with a follow-up analysis | Baresquare","High-value blog - consider migration"
"/blog/effective-data-storytelling-unleashing-insights-for-informed-decision-making","high",50,"evaluate","/blog","Effective Data Storytelling for Informed Decision-Making | B","High-value blog - consider migration"
"/blog/effective-communication-in-web-analytics-projects","high",50,"evaluate","/blog","Tips for Effective Communication in Web Analytics Projects |","High-value blog - consider migration"
"/blog/google-analytics-alerts-and-baresquare","high",50,"evaluate","/blog","Maximize Your Website's Potential with GA Alerts and Baresqu","High-value blog - consider migration"
"/blog/how-saas-tools-contributed-to-the-evolution-of-data-analytics","high",50,"evaluate","/blog","How SaaS tools contributed to the evolution of data analytic","High-value blog - consider migration"
"/blog/introducing-ecom-product-analyst-custom-gpt","high",50,"map","/","Supercharge Sales with eCom Product Analyst custom GPT | Bar","AI content → Homepage (AI-focused)"
"/blog/introducing-our-new-feature-share-a-baresquare-ticket-on-slack","high",50,"evaluate","/blog","Introducing our new feature: Share a Baresquare ticket on Sl","High-value blog - consider migration"
"/blog/introducing-new-zapier-actions-for-effortless-ticket-management","high",50,"evaluate","/blog","Introducing New Zapier Actions | Baresquare","High-value blog - consider migration"
"/blog/keep-your-data-local-using-ollama-and-anythingllm-for-private-ai-interactions","high",50,"evaluate","/blog","Private Doc Analysis with Ollama & AnythingLLM | Baresquare","High-value blog - consider migration"
"/blog/marketing-wiz-bites-01-black-friday-and-the-holiday-sprint","high",50,"evaluate","/blog","Black Friday and the Holiday Sprint | Baresquare","High-value blog - consider migration"
"/blog/merchandising-wiz-bites-2-apparel-and-pop-culture-leaders-stitched-up-2024","high",50,"evaluate","/blog","The 2024 Apparel and Pop-culture Playbook | Baresquare","High-value blog - consider migration"
"/blog/merchandising-wiz-bites-3-unwinding-the-holiday-strategies-of-timepiece-giants","high",50,"evaluate","/blog","Unwinding the Holiday Strategies of Timepiece Giants | Bares","High-value blog - consider migration"
"/blog/one-team-one-vision-how-effective-communication-can-eliminate-organizational-silos","high",50,"evaluate","/blog","Strategies to break down organizational silos | Baresquare","High-value blog - consider migration"
"/blog/query-function-google-sheets-streamline-data-analysis","high",50,"evaluate","/blog","QUERY Function in Google Sheets: Simplifying Data Analysis |","High-value blog - consider migration"
"/blog/the-problem-with-dashboards","high",50,"evaluate","/blog","The problem with dashboards | Baresquare","High-value blog - consider migration"
"/blog/work-life-balance-tips-for-data-analysts","high",50,"evaluate","/blog","Work-Life Balance Tips for Data Analysts | Baresquare","High-value blog - consider migration"
"/demo","high",50,"redirect","/","Book a Demo | Baresquare","Low-value page → homepage"
"/contact","high",50,"redirect","/","Contact | Baresquare","Low-value page → homepage"
"/blog/merchandising-wiz-bites-7-home-furnishing-trends-spring-2025","high",50,"evaluate","/blog","Spring 2025 Home Furnishings: Trends & Strategies | Baresqua","High-value blog - consider migration"
"/blog/merchandising-wiz-bites-6-premium-athleisure-marketing-2025-reality-analysis","high",50,"evaluate","/blog","January 2025 Athleisure: Shifting Beyond Discounts | Baresqu","High-value blog - consider migration"
"/blog/merchandising-wiz-bites-retailers-smart-split-clearing-winter-while-promoting-spring","high",50,"evaluate","/blog","Winter Clearance & Spring Launch | Fashion E-commerce | Bare","High-value blog - consider migration"
"/blog/merchandising-wiz-bites-4-athleisure-brand-predictions","high",50,"map","/services/ai-search-marketing","2025 Premium Athleisure Marketing Trends & Strategy Analysis","SEO/Marketing → AI Search service"
"/blog/fix-the-html-errors-of-your-website-it-matters","high",50,"evaluate","/blog","Fix HTML Errors to Boost User Experience and Website Success","High-value blog - consider migration"
"/blog/introducing-visual-description-feature","high",50,"evaluate","/blog","Introducing visual description feature | Baresquare","High-value blog - consider migration"
"/career","medium",45,"redirect","/","Career | Baresquare","Redirect to homepage"
"/solutions/performance-marketers","medium",45,"redirect","/","Solutions for Performance Marketers | Baresquare","Redirect to homepage"
"/solutions/revenue-leaders","medium",45,"redirect","/","Solutions for Revenue Leaders | Baresquare","Redirect to homepage"
"/solutions/analytics-leaders","medium",45,"redirect","/","Solutions for Analytics Leaders | Baresquare","Redirect to homepage"
"/solutions/product-owners","medium",45,"redirect","/","Solutions for Product Owners | Baresquare","Redirect to homepage"
"/apps","medium",45,"redirect","/","Apps | Baresquare","App page → homepage (products consolidated)"
"/old-home","medium",45,"redirect","/","Baresquare | Act fast","Redirect to homepage"
"/blog/optimize-slack-efficiency-essential-apps","medium",35,"redirect","/","Elevate your Slack workflow with these powerful apps | Bares","Blog post → homepage"
"/pricing","medium",35,"redirect","/","Page Not Found - Baresquare","Redirect to homepage"
"/hire-tywin","medium",30,"redirect","/","Hire Tywin","Redirect to homepage"
"/apps/404-error-hound","medium",30,"redirect","/","404 Error Hound | Baresquare","App page → homepage (products consolidated)"
