old_url,new_url,status_code,notes,original_title
"/blog/revolutionize-analytics-ai-guide-building-digital-assistant-openai-api","/blog",301,"blog post - redirect to blog index","AI-Powered Digital Assistant: Advanced Analytics with OpenAI | Baresquare"
"/blog/spot-broken-digital-campaigns-tracking-with-google-and-adobe-analytics","/blog",301,"blog post - redirect to blog index","Spot mistracked Marketing Campaigns with Google and Adobe Analytics | Baresquare"
"/blog/supercharge-tagging-productivity-chatgpt","/blog",301,"blog post - redirect to blog index","Supercharge Your Tagging Productivity with ChatGPT | Baresquare"
"/blog/the-power-of-ai-in-personalized-marketing","/blog",301,"blog post - redirect to blog index","The Power of AI in Personalized Marketing | Baresquare"
"/blog/the-problem-with-dashboards","/blog",301,"blog post - redirect to blog index","The problem with dashboards | Baresquare"
"/blog/the-ultimate-metric-for-bot-traffic-detection","/blog",301,"blog post - redirect to blog index","The ultimate metric for bot detection in Adobe Analytics | Baresquare"
"/blog/ultimate-guide-how-to-spot-bot-traffic","/blog",301,"blog post - redirect to blog index","Spot Bot traffic with Google and Adobe Analytics | Baresquare"
"/blog/unleashing-the-power-of-baresquare-campaign-diagnostics-for-optimal-marketing-success","/blog",301,"blog post - redirect to blog index","Campaign Diagnostics for Optimal Marketing Success | Baresquare"
"/blog/use-openai-chatgpt-with-python","/blog",301,"blog post - redirect to blog index","A beginner’s guide to ChatGPT API using Python | Baresquare"
"/blog/work-life-balance-tips-for-data-analysts","/blog",301,"blog post - redirect to blog index","Work-Life Balance Tips for Data Analysts | Baresquare"
"/pricing","/",301,"no equivalent - redirect to home","Page Not Found - Baresquare"
"/demo","/",301,"no equivalent - redirect to home","Book a Demo | Baresquare"
"/contact","/contact",301,"direct match","Contact | Baresquare"
"/customer-stories/how-sony-overcame-campaign-challenges-with-baresquare","/",301,"no equivalent - redirect to home","How Sony overcame campaign challenges with Baresquare | Baresquare"
"/old-home","/",301,"no equivalent - redirect to home","Baresquare | Act fast"
"/old-platform","/",301,"no equivalent - redirect to home","Platform | Baresquare"
"/blog/merchandising-wiz-bites-7-home-furnishing-trends-spring-2025","/blog",301,"blog post - redirect to blog index","Spring 2025 Home Furnishings: Trends & Strategies | Baresquare"
"/blog/merchandising-wiz-bites-6-premium-athleisure-marketing-2025-reality-analysis","/blog",301,"blog post - redirect to blog index","January 2025 Athleisure: Shifting Beyond Discounts | Baresquare"
"/blog/merchandising-wiz-bites-retailers-smart-split-clearing-winter-while-promoting-spring","/blog",301,"blog post - redirect to blog index","Winter Clearance & Spring Launch | Fashion E-commerce | Baresquare"
"/blog/merchandising-wiz-bites-4-athleisure-brand-predictions","/blog",301,"blog post - redirect to blog index","2025 Premium Athleisure Marketing Trends & Strategy Analysis | Baresquare"
"/blog/using-claude-ai-to-build-online-game-digital-analytics","/blog",301,"blog post - redirect to blog index","Discover how AI revolutionizes game creation. | Baresquare"
"/blog/unlocking-the-black-box-the-power-of-explainable-ai-for-transparent-ai-systems","/blog",301,"blog post - redirect to blog index","Unlocking the Black Box: Explainable AI | Baresquare"
"/blog/fix-the-html-errors-of-your-website-it-matters","/blog",301,"blog post - redirect to blog index","Fix HTML Errors to Boost User Experience and Website Success | Baresquare"
"/blog/introducing-visual-description-feature","/blog",301,"blog post - redirect to blog index","Introducing visual description feature | Baresquare"
